m2	habs	precio
142	5	690	
188	5	650	
90	2	376	
75	3	405	
56	1	190	
60	1	500	
300	5	775	
60	2	430	
100	4	460	
80	2	321	
84	3	340	
50	1	325	
110	3	410	
91	3	280	
85	2	295	
60	2	170	
81	2	595	
50	3	135	
95	3	345	
110	3	285	
85	3	238	
85	3	424	
144	4	590	
115	3	725	
117	3	715	
70	2	160				
85	2	295	
120	4	430	
150	5	470	
110	2	570	
85	2	260	
145	4	590	
255	4	549	
50	1	300	
75	3	260	
60	2	215	
50	1	280	
73	3	570	
120	4	495	
168	5	680	
370	4	900	
123	3	1500	
150	5	720	
305	6	880	
47	2	310	
120	4	330	
48	2	92	
65	2	190	
70	2	467	
90	3	400	
60	2	220	
110	3	400	
96	4	450	
99	2	320	
70	3	166	
121	3	682	
84	2	380	
13	1	53	
234	4	730	
110	4	330	
152	1	739	
104	3	295	
87	1	815	
190	5	1370	
104	3	550	
175	3	940	
121	3	735	
79	2	330	
57	4	290	
93	3	415	
55	2	315	
68	2	195	
56	2	170	
55	0	190	
76	3	247	
83	2	295	
55	1	190	
44	0	165	
52	0	150	
60	3	178	
64	3	242	
78	3	248	
55	2	295	
40	1	204	
319	3	675	
188	5	650	
106	3	295	
50	2	250	
194	6	680	
319	3	675	
188	5	650	
106	3	295	
50	2	250	
194	6	680	
110	3	1030	
100	3	175	
131	3	430	
65	3	280	
40	1	204	
103	3	455	
80	2	270	
254	4	660	
150	4	613	
75	0	390	
57	2	255	
135	4	587	
300	4	645	
70	3	242	
55	2	470	
60	2	295	
70	3	190	
75	2	240	
70	2	435	
60	2	215	
74	2	435	
55	2	470	
85	2	295	
60	2	170	
50	2	145	
74	3	247	
90	3	465	
140	4	790	
80	3	248	
67	2	675	
250	4	1036	
40	2	159	
220	5	2700	
620	9	1350	
310	6	1245	
425	9	1545	
350	5	1100	
150	3	790	
144	6	590	
55	2	130	
200	4	1390	
95	3	880	
60	2	190	
50	2	280	
78	3	245	
57	2	169	
75	3	257	
45	2	109	
120	4	330	
290	6	620	
70	3	198	
91	3	525	
70	2	309	
91	3	349	
70	2	315	
86	2	330	
91	3	1030	
101	4	570	
420	5	2249	
130	5	430	
97	3	725	
255	4	445	
540	4	890	
75	2	450	
85	2	330	
110	4	490	
65	2	205	
224	6	1350	
80	3	455	
156	4	1180	
83	4	199	
87	3	190	
178	3	398	
582	13	2600	
275	6	1200	
307	7	1800	
149	5	2500	
85	4	400	
106	3	510	
52	2	149	
84	3	259	
224	6	1350	
65	0	390	
118	3	1375	
80	4	335	
86	3	244	
270	5	800	
331	5	790	
276	5	750	
340	5	795	
300	6	620	
100	3	318	
100	4	545	
160	3	790	
88	3	243	
75	3	260	
50	1	450	
80	3	459	
135	3	1100	
88	3	210	
128	0	525	
95	3	475	
56	2	215	
140	5	550	
55	2	315	
80	3	330	
145	4	850	
95	4	460	
100	4	480	
85	2	410	
75	2	450	
74	3	415	
70	2	450	
75	2	289	
100	3	475	
92	3	206	
127	4	468	
149	4	460	
93	3	318	
84	4	350	
270	5	850	
95	3	490	
75	2	190	
86	3	240	
70	3	166				
70	3	120	
115	4	620	
76	1	170	
110	0	390	
70	0	295	
300	4	975	
96	4	480	
134	3	1100	
360	4	1000	
50	2	114	
78	2	420	
68	3	180	
85	3	400	
112	3	550	
117	5	499	
60	2	182	
85	3	299	
90	3	290	
69	2	280	
80	0	126	
130	4	590	
90	1	589	
87	4	228	
70	3	430	
90	3	400	
66	2	240	
55	1	275	
66	2	435	
110	2	550	
84	2	290	
176	4	2260	
150	5	750	
250	5	1200	
130	5	830	
275	4	850	
250	5	1500	
90	3	300	
90	3	510	
121	4	500	
65	2	136	
60	2	290	
60	2	174	
60	2	170	
106	4	390	
65	3	155	
90	3	400	
85	3	270	
80	3	440	
120	3	575	
98	3	330	
67	2	225	
92	3	300	
141	6	430	
125	3	475	
192	4	2200	
88	2	243	
90	3	330	
85	3	265	
65	2	185	
90	3	260	
250	4	725	
115	3	680	
100	3	480	
82	3	440	
180	4	2600	
369	5	890	
60	3	145	
100	2	550	
80	3	268	
160	4	468	
65	3	280	
125	4	485	
94	0	390	
115	3	700	
80	3	240	
155	4	495	
33	1	210	
75	2	450	
90	2	376	
100	3	295	
131	3	875	
80	2	295	
72	2	145	
136	3	228	
88	2	298				
60	2	363	
50	2	135	
75	3	350	
57	2	185	
52	2	95	
75	4	100				
108	4	450	
90	3	505	
300	4	620	
100	4	495	
70	3	179	
67	3	183	
63	2	255	
76	2	139	
38	1	115	
90	2	430	
325	5	770	
120	3	540	
70	3	365	
92	3	289	
86	3	350	
90	2	330	
100	4	480	
541	5	995	
90	4	640	
250	4	600	
90	3	250	
117	3	725	
100	4	318	
87	3	290	
87	4	508	
80	2	290	
90	3	463	
78	3	237	
186	5	1150	
110	4	500	
97	3	420	
250	5	690	
390	5	1300	
450	5	933	
90	4	500	
91	3	300	
58	3	295	
70	2	295	
270	4	622	
298	4	750	
110	3	345	
85	3	300	
52	2	350	
55	1	391	
56	2	110	
181	5	1150	
56	2	199	
115	0	575	
45	2	110	
70	2	500	
69	2	490	
51	2	340	
79	2	435	
120	4	395	
72	2	330	
90	3	330	
55	2	324	
60	2	157	
70	3	150	
80	3	290	
65	3	280	
160	4	468	
72	2	362	
130	3	700	
104	3	500	
90	3	250	
60	2	190	
79	2	330	
127	4	468	
75	2	450	
78	3	315	
112	3	850	
95	2	790	
102	2	560	
170	4	685	
100	3	420	
93	3	318	
490	4	1899	
60	2	128	
50	0	112	
90	4	450	
105	3	450	
